state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
New York,New York,72639.64,Not rural,0.505,0.265,0.164,73.5,12.7
Arkansas,Benton,337.9933,Not rural,0.538,0.427,0.001,75.1,29.6
Florida,Marion,238.1136,Not rural,0.111,0.87,0.002,85.7,15.2
Virginia,Nottoway,49.74081,Rural,0.157,0.596,0.157,100.0,27.4
New Jersey,Warren,307.7882,Not rural,0.538,0.116,0.307,81.2,9.2
New York,Columbia,96.85291,Rural,0.293,0.153,0.475,100.0,16.0
Virginia,Martinsville,1235.816,Rural,0.306,0.583,0.101,100.0,20.0
Oklahoma,Choctaw,18.54273,Rural,0.334,0.609,0.02,100.0,31.4
Kansas,Dickinson,21.8306,Rural,0.785,0.173,0.001,100.0,17.3
Texas,Starr,53.72557,Rural,0.06,0.914,0.002,100.0,36.8
Georgia,Effingham,136.4036,Not rural,0.08,0.909,0.0,98.2,14.4
Oklahoma,Roger Mills,2.999646,Rural,0.514,0.412,0.004,100.0,22.6
Wisconsin,Richland,29.43958,Rural,0.764,0.077,0.022,100.0,21.7
New Mexico,Lea,16.64628,Not rural,0.466,0.507,0.0,93.0,17.4
Alabama,Lamar,22.95625,Rural,0.331,0.626,0.006,100.0,27.8
Tennessee,Marshall,92.06522,Rural,0.3,0.671,0.004,100.0,19.4
Virginia,Appomattox,48.62913,Rural,0.081,0.767,0.088,100.0,23.9
Arkansas,Madison,20.06263,Rural,0.417,0.357,0.001,100.0,30.2
Wyoming,Sheridan,12.35495,Rural,0.715,0.223,0.001,100.0,11.9
Pennsylvania,Cumberland,478.969,Rural,0.421,0.365,0.164,100.0,11.7
Pennsylvania,Franklin,202.103,Not rural,0.224,0.499,0.198,95.9,16.1
Pennsylvania,Luzerne,365.6643,Not rural,0.547,0.238,0.167,76.3,15.8
Michigan,Crawford,23.7179,Rural,0.748,0.082,0.002,100.0,13.4
Alabama,Russell,91.78211,Not rural,0.215,0.767,0.007,87.8,23.5
Ohio,Carroll,67.81595,Rural,0.488,0.256,0.119,100.0,20.0
Virginia,Fluvanna,95.57766,Rural,0.12,0.767,0.036,100.0,11.6
Illinois,Lake,1607.643,Not rural,0.857,0.135,0.0,76.0,7.3
Georgia,Madison,107.6,Not rural,0.163,0.779,0.002,95.8,22.6
Arkansas,Dallas,9.698454,Rural,0.432,0.53,0.001,100.0,33.2
Colorado,Jackson,0.892345,Rural,0.386,0.338,0.0,100.0,15.1
Colorado,Kit Carson,3.257557,Rural,0.824,0.148,0.0,100.0,13.5
Idaho,Owyhee,1.570511,Rural,0.167,0.63,0.018,100.0,22.7
Wisconsin,Wood,93.48534,Rural,0.785,0.122,0.034,100.0,13.4
New York,Chautauqua,120.1799,Not rural,0.75,0.158,0.028,92.6,19.1
Georgia,Cobb,2253.868,Not rural,0.702,0.292,0.002,72.9,7.1
Tennessee,Johnson,60.2533,Rural,0.198,0.603,0.095,100.0,34.5
Ohio,Belmont,125.0717,Rural,0.559,0.299,0.09,100.0,19.6
Virginia,Wise,89.4929,Rural,0.048,0.883,0.03,100.0,30.5
Missouri,Carter,10.44429,Rural,0.41,0.468,0.0,100.0,22.0
Oklahoma,Bryan,51.44923,Rural,0.27,0.707,0.0,100.0,23.6
Nebraska,Clay,10.63797,Rural,0.626,0.322,0.0,100.0,15.9
Maryland,Charles,364.8439,Not rural,0.293,0.545,0.129,89.6,9.6
Iowa,Cerro Gordo,75.62732,Not rural,0.821,0.168,0.001,74.5,14.9
Iowa,Greene,15.45234,Rural,0.753,0.218,0.004,100.0,16.5
Kentucky,Rowan,87.71944,Rural,0.253,0.688,0.0,100.0,13.5
Utah,Wayne,1.028811,Rural,0.205,0.453,0.083,100.0,16.2
Missouri,Cape Girardeau,141.2284,Not rural,0.505,0.465,0.0,81.9,11.7
Washington,Walla Walla,48.93573,Not rural,0.397,0.554,0.012,81.5,10.4
Missouri,Mississippi,29.8958,Rural,0.568,0.422,0.001,100.0,25.4
Arkansas,Cleveland,12.62396,Rural,0.367,0.579,0.0,100.0,30.6
Texas,Dallas,2982.39,Not rural,0.369,0.622,0.001,86.3,17.8
Indiana,DeKalb,119.3719,Rural,0.699,0.25,0.009,100.0,15.9
Louisiana,Ouachita,261.4649,Not rural,0.323,0.667,0.002,95.9,23.6
Louisiana,St. John the Baptist,195.7628,Not rural,0.235,0.758,0.002,89.6,20.8
Louisiana,St. Helena,26.61271,Rural,0.212,0.753,0.0,100.0,28.8
Missouri,Schuyler,13.23115,Rural,0.472,0.4,0.0,100.0,28.3
Alabama,Franklin,50.49381,Rural,0.39,0.597,0.001,100.0,31.1
Kentucky,Carroll,84.24251,Rural,0.423,0.516,0.018,100.0,28.9
Colorado,Clear Creek,23.80067,Rural,0.746,0.16,0.0,100.0,12.4
Texas,Kimble,3.450094,Rural,0.324,0.669,0.0,100.0,26.0
Michigan,Mackinac,10.61084,Rural,0.578,0.249,0.031,100.0,21.3
Texas,McCulloch,7.167787,Rural,0.452,0.52,0.0,100.0,20.4
Mississippi,Tishomingo,44.39575,Rural,0.379,0.568,0.004,100.0,24.5
Texas,Crockett,1.050467,Rural,0.569,0.431,0.0,100.0,35.0
Texas,Hill,37.68859,Rural,0.291,0.684,0.0,100.0,17.4
Colorado,Logan,11.58599,Rural,0.703,0.28,0.001,100.0,11.8
Kansas,Finney,29.32955,Not rural,0.778,0.214,0.003,86.9,15.8
Kansas,Montgomery,48.86312,Rural,0.726,0.238,0.002,100.0,19.0
South Carolina,Fairfield,30.51414,Not rural,0.244,0.682,0.024,99.7,33.0
Nebraska,Cheyenne,7.933896,Rural,0.7,0.277,0.003,100.0,14.1
Minnesota,Martin,28.02069,Rural,0.814,0.157,0.01,100.0,16.1
Tennessee,Sevier,166.1653,Not rural,0.195,0.777,0.004,92.9,19.4
Tennessee,Polk,40.54253,Rural,0.232,0.693,0.024,100.0,25.3
Texas,Kent,0.7035958,Rural,0.293,0.65,0.0,100.0,18.1
Montana,Teton,2.746063,Rural,0.777,0.112,0.015,100.0,19.1
Nebraska,Garden,1.042592,Rural,0.614,0.337,0.0,100.0,19.9
Illinois,Macoupin,52.03751,Rural,0.77,0.198,0.003,100.0,15.1
Ohio,Ross,111.6669,Not rural,0.444,0.457,0.049,89.1,17.0
Illinois,Whiteside,81.22944,Rural,0.829,0.152,0.003,100.0,15.6
Texas,El Paso,852.5492,Not rural,0.726,0.263,0.001,94.8,16.9
Texas,Loving,0.1435369,Rural,0.4,0.6,0.0,100.0,32.7
Oklahoma,Latimer,13.20718,Rural,0.438,0.491,0.0,100.0,27.2
Ohio,Washington,94.36938,Rural,0.74,0.207,0.019,100.0,20.1
Missouri,Howell,43.09858,Rural,0.424,0.442,0.007,100.0,20.0
Kansas,Edwards,4.581163,Rural,0.765,0.164,0.0,100.0,21.8
Kentucky,Jefferson,2046.143,Not rural,0.616,0.373,0.002,69.8,12.6
Illinois,Logan,45.34729,Rural,0.772,0.213,0.003,100.0,16.4
Wisconsin,Winnebago,393.8303,Not rural,0.769,0.192,0.005,63.7,11.4
Kentucky,Fulton,31.46672,Rural,0.511,0.478,0.0,100.0,30.6
Kansas,Harvey,62.91548,Rural,0.681,0.285,0.004,100.0,13.1
Montana,Dawson,3.758549,Rural,0.788,0.199,0.002,100.0,17.8
West Virginia,Taylor,96.09247,Rural,0.652,0.25,0.014,100.0,15.1
Michigan,Midland,161.2466,Not rural,0.826,0.109,0.008,77.0,13.1
Mississippi,Quitman,15.09339,Rural,0.579,0.4,0.0,100.0,36.4
Kentucky,Hardin,177.9213,Not rural,0.284,0.692,0.006,84.0,17.6
Illinois,Jefferson,64.84727,Rural,0.559,0.381,0.001,100.0,15.1
South Dakota,Hamlin,12.22046,Rural,0.637,0.324,0.007,100.0,21.1
Wisconsin,Lincoln,32.32261,Rural,0.755,0.127,0.021,100.0,17.3
New York,Franklin,29.12853,Rural,0.193,0.147,0.49,100.0,21.7
Virginia,Fredericksburg,2704.002,Not rural,0.407,0.563,0.013,69.5,14.4
West Virginia,Raleigh,122.7391,Rural,0.379,0.569,0.009,100.0,18.4
New Mexico,Chaves,10.6641,Not rural,0.486,0.494,0.002,90.7,26.1
New Mexico,Santa Fe,80.86401,Not rural,0.763,0.156,0.001,92.2,17.4
California,Orange,4004.788,Not rural,0.698,0.258,0.001,80.8,7.5
Arizona,Santa Cruz,38.69629,Not rural,0.382,0.576,0.0,98.7,21.1
North Carolina,Currituck,109.2588,Rural,0.097,0.866,0.01,100.0,13.3
Illinois,Lawrence,41.11467,Rural,0.753,0.227,0.002,100.0,18.9
Indiana,Howard,284.747,Not rural,0.74,0.242,0.001,73.1,17.0
Indiana,Pike,36.5694,Rural,0.623,0.321,0.003,100.0,24.1
Kentucky,Christian,101.3935,Not rural,0.364,0.604,0.006,81.5,20.7
Michigan,Eaton,189.6217,Not rural,0.763,0.145,0.03,84.0,13.1
Iowa,Wapello,81.72424,Not rural,0.747,0.208,0.0,76.0,19.1
California,Imperial,43.00714,Not rural,0.422,0.528,0.0,98.1,15.8
Michigan,Cass,105.291,Not rural,0.761,0.134,0.032,92.9,18.1
Mississippi,Wilkinson,12.58062,Rural,0.34,0.637,0.0,100.0,43.1
Kansas,Sheridan,2.734506,Rural,0.862,0.114,0.0,100.0,14.8
Mississippi,Leake,36.60164,Rural,0.416,0.55,0.0,100.0,32.0
Mississippi,Clay,45.35299,Rural,0.475,0.514,0.0,100.0,22.0
Mississippi,Franklin,13.63563,Rural,0.394,0.566,0.0,100.0,23.3
Mississippi,Neshoba,50.81258,Rural,0.374,0.6,0.0,100.0,27.8
South Dakota,Edmunds,3.564893,Rural,0.549,0.339,0.071,100.0,19.0
Alabama,Conecuh,13.61435,Rural,0.323,0.65,0.002,100.0,37.8
Indiana,Dearborn,166.2117,Not rural,0.535,0.391,0.025,89.2,12.1
Indiana,Jackson,90.6157,Rural,0.353,0.585,0.007,100.0,20.5
Mississippi,Lee,185.221,Not rural,0.439,0.55,0.001,88.7,19.8
Louisiana,West Feliciana,38.0793,Rural,0.22,0.776,0.0,100.0,22.0
Arkansas,Crittenden,78.23095,Not rural,0.485,0.504,0.0,87.4,18.6
Florida,Jackson,51.95211,Rural,0.075,0.905,0.0,100.0,23.4
Texas,Dickens,1.741109,Rural,0.527,0.37,0.0,100.0,17.3
Virginia,Mathews,99.37045,Rural,0.121,0.77,0.025,100.0,23.3
North Dakota,Renville,2.60133,Rural,0.527,0.395,0.007,100.0,18.0
Texas,La Salle,4.68486,Rural,0.21,0.782,0.0,100.0,36.3
New York,Onondaga,607.1961,Not rural,0.733,0.198,0.037,68.6,16.6
Iowa,Henry,47.05635,Rural,0.757,0.201,0.001,100.0,16.6
Nebraska,Harlan,5.590222,Rural,0.605,0.364,0.0,100.0,16.6
Montana,Powder River,0.5375665,Rural,0.727,0.142,0.0,100.0,17.7
Wisconsin,Pepin,31.73601,Rural,0.683,0.125,0.043,100.0,16.2
Arizona,Apache,5.898567,Rural,0.197,0.168,0.0,100.0,61.1
Missouri,Macon,18.93766,Rural,0.564,0.366,0.001,100.0,27.8
Texas,Lamb,12.81661,Rural,0.596,0.372,0.0,100.0,24.1
Kansas,Kiowa,3.38343,Rural,0.737,0.239,0.0,100.0,19.6
Texas,Austin,47.03203,Rural,0.338,0.634,0.003,100.0,22.8
Missouri,Daviess,14.94456,Rural,0.583,0.265,0.001,100.0,23.5
Georgia,Seminole,38.37994,Rural,0.04,0.949,0.0,100.0,28.0
Michigan,Manistee,46.20473,Rural,0.79,0.078,0.017,100.0,16.3
Iowa,Lyon,20.46087,Rural,0.677,0.247,0.014,100.0,11.0
Texas,Hutchinson,23.20761,Rural,0.659,0.336,0.0,100.0,14.7
Oklahoma,Texas,10.35814,Rural,0.745,0.247,0.0,100.0,19.3
Oklahoma,Woodward,16.42358,Rural,0.62,0.355,0.0,100.0,18.1
Iowa,Adams,8.690868,Rural,0.676,0.271,0.003,100.0,18.7
California,Sutter,164.4295,Not rural,0.658,0.281,0.004,85.5,13.6
Pennsylvania,Potter,15.15839,Rural,0.735,0.079,0.031,100.0,18.3
Texas,Val Verde,15.16591,Not rural,0.204,0.781,0.0,94.6,27.2
Kansas,Harper,6.810403,Rural,0.838,0.133,0.0,100.0,21.9
Iowa,Monona,12.49293,Rural,0.615,0.299,0.039,100.0,18.6
Utah,Juab,3.521126,Rural,0.726,0.212,0.004,100.0,17.4
Oklahoma,Stephens,49.57411,Not rural,0.528,0.414,0.003,82.0,17.9
New York,Chenango,52.71293,Rural,0.312,0.166,0.34,100.0,17.2
Illinois,Peoria,292.8518,Not rural,0.741,0.248,0.001,73.9,17.3
Iowa,Humboldt,22.11469,Rural,0.735,0.247,0.006,100.0,18.7
Nebraska,Washington,53.55456,Rural,0.647,0.28,0.019,100.0,10.2
Wisconsin,Iowa,31.16042,Rural,0.734,0.109,0.056,100.0,13.6
Minnesota,Morrison,30.24013,Rural,0.663,0.141,0.056,100.0,16.9
Pennsylvania,Allegheny,1706.013,Not rural,0.825,0.154,0.011,61.9,11.6
Missouri,Shelby,12.07714,Rural,0.556,0.379,0.002,100.0,20.2
Ohio,Madison,94.19789,Not rural,0.666,0.275,0.033,100.0,10.7
Kansas,Washington,6.179319,Rural,0.739,0.145,0.054,100.0,20.8
Illinois,Champaign,207.3327,Not rural,0.618,0.364,0.002,77.4,13.7
Idaho,Washington,7.304252,Rural,0.407,0.456,0.017,100.0,19.9
Illinois,Edgar,27.03572,Rural,0.742,0.23,0.001,100.0,16.9
Colorado,Washington,1.912963,Rural,0.716,0.229,0.019,100.0,12.9
Ohio,Hardin,65.11367,Rural,0.67,0.237,0.006,100.0,21.2
Michigan,Missaukee,26.71623,Rural,0.726,0.052,0.022,100.0,18.1
North Dakota,Stutsman,9.725445,Rural,0.659,0.297,0.012,100.0,17.2
Missouri,Shannon,7.10486,Rural,0.36,0.388,0.0,100.0,34.1
Texas,Smith,254.665,Not rural,0.415,0.571,0.004,85.5,16.9
Oklahoma,Tulsa,1173.053,Not rural,0.653,0.339,0.0,73.1,12.7
Oklahoma,McIntosh,30.98726,Rural,0.467,0.505,0.0,100.0,33.1
Texas,Robertson,19.77654,Rural,0.416,0.563,0.0,100.0,20.5
Texas,Gillespie,25.47055,Rural,0.309,0.643,0.001,100.0,16.3
Michigan,Oakland,1466.746,Not rural,0.871,0.115,0.002,66.5,7.5
North Dakota,Golden Valley,1.732467,Rural,0.825,0.14,0.0,100.0,22.0
Wyoming,Niobrara,0.936776,Rural,0.79,0.064,0.01,100.0,23.1
Minnesota,Pipestone,20.16975,Rural,0.747,0.18,0.048,100.0,16.6
Virginia,King George,150.2272,Rural,0.106,0.818,0.041,100.0,6.9
Washington,Grant,37.00065,Not rural,0.026,0.955,0.002,93.5,13.3
Minnesota,Renville,14.9628,Rural,0.724,0.208,0.042,100.0,21.9
Florida,Alachua,319.4547,Not rural,0.204,0.776,0.001,78.7,12.4
Nebraska,Hooker,0.9138054,Rural,0.729,0.209,0.0,100.0,31.3
Virginia,Prince Edward,62.64389,Rural,0.107,0.753,0.075,100.0,28.5
Utah,Carbon,13.74799,Rural,0.887,0.087,0.0,100.0,14.9
Pennsylvania,Bucks,1067.502,Not rural,0.419,0.302,0.256,60.5,7.6
South Dakota,Hand,2.140421,Rural,0.455,0.412,0.048,100.0,14.9
Pennsylvania,Lycoming,92.78232,Not rural,0.392,0.255,0.234,90.7,17.2
Idaho,Latah,37.06034,Not rural,0.364,0.498,0.025,71.2,11.7
Georgia,Putnam,64.42464,Rural,0.195,0.767,0.01,100.0,22.9
Virginia,Galax,811.8877,Rural,0.061,0.653,0.204,100.0,24.1
New Mexico,Quay,3.006658,Rural,0.533,0.4,0.003,100.0,28.6
Texas,King,0.2371351,Rural,0.375,0.488,0.0,100.0,13.9
Arkansas,Lafayette,11.8552,Rural,0.434,0.543,0.006,100.0,36.5
Texas,Tom Green,78.35146,Not rural,0.362,0.627,0.001,80.9,18.4
Florida,Hardee,40.03957,Rural,0.039,0.921,0.0,100.0,36.7
Ohio,Clermont,461.4878,Not rural,0.43,0.479,0.049,65.2,10.5
Texas,Yoakum,9.540898,Rural,0.416,0.569,0.0,100.0,22.9
Oregon,Yamhill,150.395,Not rural,0.266,0.653,0.009,80.2,12.0
Iowa,Louisa,26.93785,Rural,0.758,0.197,0.0,100.0,15.2
Kansas,Elk,3.807444,Rural,0.699,0.176,0.0,100.0,26.5
Ohio,Noble,35.71751,Rural,0.609,0.191,0.072,100.0,26.3
Ohio,Putnam,71.28881,Rural,0.596,0.327,0.022,100.0,12.7
Texas,Somervell,50.14304,Rural,0.199,0.788,0.0,100.0,18.4
Pennsylvania,Lebanon,395.9205,Not rural,0.383,0.238,0.332,94.7,15.0
Montana,Glacier,4.601104,Rural,0.502,0.368,0.005,100.0,24.8
Nevada,Pershing,1.091179,Rural,0.657,0.148,0.018,100.0,16.9
Minnesota,Mahnomen,9.660013,Rural,0.486,0.272,0.129,100.0,23.7
New Jersey,Passaic,2793.628,Not rural,0.848,0.092,0.046,82.6,14.2
Montana,Lake,21.14035,Rural,0.226,0.572,0.033,100.0,20.4
Texas,Kenedy,0.07953039,Rural,0.0,1.0,0.0,100.0,38.7
Texas,Borden,0.7643941,Rural,0.326,0.605,0.0,100.0,13.5
Missouri,Perry,39.99113,Rural,0.488,0.404,0.002,100.0,14.4
Texas,San Saba,5.090226,Rural,0.432,0.55,0.006,100.0,19.1
Oklahoma,Kingfisher,17.0251,Rural,0.672,0.321,0.001,100.0,24.4
Texas,Burleson,27.24697,Rural,0.249,0.737,0.0,100.0,20.4
New York,Fulton,107.5365,Rural,0.515,0.105,0.261,100.0,17.7
Mississippi,Sunflower,37.07154,Rural,0.659,0.331,0.001,100.0,34.2
Minnesota,Hennepin,2293.816,Not rural,0.784,0.191,0.002,61.6,9.8
Pennsylvania,Centre,143.2953,Not rural,0.29,0.426,0.212,88.9,14.6
Texas,Bee,35.19156,Rural,0.209,0.786,0.0,100.0,32.1
Tennessee,Henderson,53.54716,Rural,0.628,0.351,0.001,100.0,19.8
Iowa,Tama,23.60157,Rural,0.797,0.145,0.005,100.0,17.7
Kansas,Seward,34.30298,Not rural,0.778,0.215,0.0,90.1,11.2
Iowa,Monroe,17.46335,Rural,0.763,0.173,0.0,100.0,20.5
Nebraska,Richardson,14.22511,Rural,0.607,0.325,0.002,100.0,15.4
Illinois,Christian,47.77139,Rural,0.793,0.188,0.0,100.0,18.3
Florida,Nassau,141.1141,Rural,0.042,0.934,0.006,100.0,10.9
Florida,Washington,42.78261,Rural,0.082,0.898,0.001,100.0,18.2
Georgia,Baker,8.416254,Rural,0.227,0.761,0.0,100.0,41.0
Georgia,Thomas,83.84547,Rural,0.119,0.866,0.001,100.0,16.3
Kentucky,Anderson,117.8634,Rural,0.265,0.685,0.001,100.0,18.7
Kentucky,Oldham,363.0532,Not rural,0.541,0.447,0.003,63.7,6.5
Georgia,Cherokee,637.8021,Not rural,0.678,0.314,0.0,65.9,5.6
North Dakota,Oliver,2.535977,Rural,0.67,0.208,0.003,100.0,16.6
Michigan,Osceola,40.65435,Rural,0.691,0.054,0.031,100.0,26.0
Tennessee,McNairy,46.0076,Rural,0.395,0.57,0.003,100.0,23.2
Washington,Adams,10.67902,Rural,0.235,0.708,0.012,100.0,26.6
Missouri,Dade,15.50579,Rural,0.488,0.374,0.0,100.0,24.0
Louisiana,St. Mary,87.93484,Rural,0.313,0.683,0.001,100.0,20.8
Vermont,Chittenden,313.5125,Not rural,0.652,0.126,0.158,87.0,11.5
Louisiana,Lafourche,91.0476,Not rural,0.326,0.668,0.0,99.9,17.5
Iowa,Muscatine,98.22603,Not rural,0.827,0.154,0.002,80.7,15.9
Florida,Santa Rosa,186.679,Not rural,0.093,0.887,0.0,77.7,8.6
Indiana,Martin,29.3751,Rural,0.565,0.327,0.006,100.0,21.4
Kentucky,Rockcastle,51.08244,Rural,0.098,0.763,0.023,100.0,27.0
Kentucky,Trimble,57.5893,Rural,0.276,0.6,0.043,100.0,28.1
Georgia,Chattooga,79.47615,Rural,0.35,0.619,0.003,100.0,24.3
South Carolina,Dillon,69.75226,Rural,0.104,0.863,0.023,100.0,41.4
North Carolina,Jones,19.65132,Rural,0.201,0.769,0.01,100.0,31.8
Missouri,Scotland,10.81311,Rural,0.697,0.244,0.0,100.0,20.0
Kansas,Nemaha,14.24395,Rural,0.762,0.171,0.01,100.0,13.7
Kansas,Norton,6.185341,Rural,0.905,0.071,0.001,100.0,14.0
Nebraska,Furnas,6.438321,Rural,0.684,0.256,0.0,100.0,17.8
Georgia,Decatur,48.66223,Rural,0.085,0.897,0.001,100.0,41.9
Indiana,Wayne,165.5787,Not rural,0.642,0.263,0.052,83.1,23.1
Kentucky,Barren,91.32987,Rural,0.399,0.558,0.008,100.0,17.7
Nebraska,Howard,11.37462,Rural,0.571,0.369,0.008,100.0,18.1
North Dakota,Dunn,2.01594,Rural,0.597,0.337,0.02,100.0,12.7
California,Amador,68.24428,Rural,0.523,0.258,0.004,100.0,12.6
Tennessee,Fentress,37.38818,Rural,0.409,0.47,0.002,100.0,25.0
Kansas,Coffey,13.29431,Rural,0.76,0.203,0.005,100.0,13.1
Michigan,Branch,88.45587,Rural,0.778,0.077,0.041,100.0,19.0
Virginia,Campbell,110.3283,Not rural,0.07,0.805,0.073,87.4,21.2
Ohio,Meigs,51.71337,Rural,0.415,0.509,0.005,100.0,24.6
West Virginia,Nicholas,38.06777,Rural,0.435,0.441,0.012,100.0,18.7
Oklahoma,Grant,4.14893,Rural,0.682,0.215,0.076,100.0,23.5
South Dakota,Spink,4.226808,Rural,0.598,0.327,0.009,100.0,15.1
Vermont,Windsor,59.67326,Rural,0.271,0.064,0.476,100.0,12.9
Texas,Trinity,19.79692,Rural,0.201,0.773,0.0,100.0,32.0
New Mexico,Bernalillo,581.0073,Not rural,0.782,0.186,0.001,86.4,17.0
Georgia,Mitchell,42.24087,Rural,0.167,0.815,0.0,100.0,22.8
Kentucky,McCreary,39.5871,Rural,0.122,0.714,0.032,100.0,34.0
Kentucky,Pendleton,52.81653,Rural,0.428,0.425,0.062,100.0,21.6
Kentucky,Spencer,104.7248,Rural,0.299,0.654,0.009,100.0,11.9
Montana,Hill,5.600466,Rural,0.821,0.142,0.003,100.0,18.2
Nebraska,Valley,7.134159,Rural,0.435,0.514,0.0,100.0,16.9
Texas,Castro,8.252049,Rural,0.595,0.368,0.023,100.0,28.1
Maryland,Washington,337.8121,Not rural,0.267,0.504,0.181,91.9,16.8
Kentucky,Letcher,63.59237,Rural,0.162,0.774,0.01,100.0,24.5
New Jersey,Salem,195.3832,Not rural,0.517,0.162,0.281,87.0,13.6
Virginia,Lynchburg,1616.409,Not rural,0.2,0.741,0.049,70.4,15.2
Arkansas,Saline,171.3686,Not rural,0.411,0.569,0.001,77.2,12.0
West Virginia,Mason,59.16877,Rural,0.296,0.659,0.017,100.0,23.6
West Virginia,Gilmer,21.99097,Rural,0.789,0.146,0.0,100.0,22.9
Mississippi,Jefferson,13.8614,Rural,0.295,0.694,0.003,100.0,24.2
North Dakota,Rolette,13.61177,Rural,0.332,0.603,0.041,100.0,27.6
Montana,Treasure,0.6954383,Rural,0.492,0.36,0.006,100.0,29.2
Kentucky,Clark,146.1373,Rural,0.423,0.558,0.003,100.0,15.8
Michigan,Allegan,145.6389,Not rural,0.781,0.058,0.027,97.9,17.3
Tennessee,Benton,40.40768,Rural,0.473,0.479,0.001,100.0,27.6
Minnesota,Brown,42.34921,Rural,0.767,0.165,0.025,100.0,13.5
Tennessee,Pickett,30.93819,Rural,0.268,0.702,0.003,100.0,23.5
Virginia,Louisa,76.96971,Rural,0.133,0.699,0.07,100.0,16.8
Indiana,Shelby,109.3068,Not rural,0.572,0.371,0.023,99.5,16.6
Ohio,Franklin,2475.789,Not rural,0.697,0.294,0.003,68.4,10.3
Utah,Iron,17.61683,Not rural,0.651,0.305,0.008,69.1,13.1
Nevada,Esmeralda,0.2735986,Rural,0.499,0.258,0.019,100.0,42.2
Michigan,Keweenaw,3.865866,Rural,0.709,0.054,0.065,100.0,25.3
Utah,Sanpete,18.12536,Rural,0.835,0.089,0.002,100.0,14.1
Kansas,Kearny,4.553478,Rural,0.783,0.207,0.0,100.0,18.3
Florida,Brevard,601.7135,Not rural,0.098,0.883,0.001,73.0,9.6
Indiana,Monroe,355.0247,Not rural,0.507,0.47,0.002,67.8,11.3
Iowa,Lucas,20.12163,Rural,0.669,0.248,0.003,100.0,18.1
Kentucky,Woodford,141.8236,Rural,0.405,0.574,0.002,100.0,13.3
South Carolina,Jasper,44.94167,Rural,0.228,0.759,0.0,100.0,31.5
Texas,Brewster,1.528842,Rural,0.44,0.523,0.0,100.0,16.8
South Carolina,McCormick,26.7844,Rural,0.174,0.78,0.026,100.0,26.5
South Carolina,Union,52.87932,Rural,0.358,0.585,0.023,100.0,26.9
Minnesota,Nicollet,76.65263,Rural,0.781,0.173,0.013,100.0,10.5
Wisconsin,Marinette,29.88784,Rural,0.757,0.103,0.017,100.0,16.4
Washington,Clark,802.0547,Not rural,0.344,0.616,0.005,67.6,7.2
Wisconsin,Price,11.2164,Rural,0.697,0.098,0.027,100.0,19.5
Indiana,Miami,96.1689,Not rural,0.717,0.227,0.017,99.5,19.8
Kansas,Ellsworth,8.90752,Rural,0.779,0.18,0.0,100.0,16.9
Louisiana,West Carroll,27.24599,Rural,0.357,0.618,0.0,100.0,53.9
Florida,Liberty,9.220127,Rural,0.046,0.922,0.0,100.0,26.4
Kansas,Hodgeman,2.058158,Rural,0.734,0.151,0.086,100.0,13.6
Kansas,Meade,4.10906,Rural,0.868,0.115,0.0,100.0,14.2
Kentucky,McLean,36.3251,Rural,0.452,0.526,0.003,100.0,21.1
Mississippi,Adams,63.64315,Rural,0.397,0.589,0.003,100.0,20.7
Mississippi,Itawamba,44.83524,Rural,0.453,0.519,0.0,100.0,23.3
Kentucky,Franklin,247.5848,Not rural,0.463,0.515,0.003,82.5,15.3
Maine,Hancock,35.18998,Rural,0.203,0.096,0.555,100.0,12.6
Maine,Knox,111.5417,Rural,0.202,0.083,0.606,100.0,10.7
Georgia,Newton,413.7767,Not rural,0.366,0.621,0.0,88.5,11.5
South Dakota,Faulk,2.179862,Rural,0.486,0.456,0.034,100.0,16.9
Michigan,Houghton,37.07658,Rural,0.793,0.088,0.034,100.0,15.3
Montana,Mineral,3.814304,Rural,0.449,0.179,0.03,100.0,24.4
Tennessee,Franklin,77.51163,Not rural,0.303,0.683,0.001,97.3,23.2
Louisiana,Concordia,26.79419,Rural,0.483,0.505,0.0,100.0,31.4
Louisiana,Livingston,221.29,Not rural,0.29,0.697,0.0,77.2,15.3
Massachusetts,Essex,1636.711,Not rural,0.603,0.161,0.219,67.7,10.9
South Dakota,Butte,4.608424,Rural,0.636,0.295,0.0,100.0,17.4
Colorado,Douglas,428.3639,Not rural,0.767,0.221,0.0,55.9,2.8
South Carolina,Richland,549.5269,Not rural,0.257,0.729,0.003,80.7,15.1
Indiana,Madison,288.8668,Not rural,0.722,0.255,0.006,75.7,15.9
Oklahoma,Murray,33.23208,Rural,0.375,0.571,0.018,100.0,30.1
West Virginia,Brooke,250.5614,Rural,0.625,0.269,0.065,100.0,19.8
West Virginia,Calhoun,22.48421,Rural,0.75,0.192,0.0,100.0,24.4
Virginia,Bland,17.44998,Rural,0.007,0.745,0.098,100.0,23.4
Montana,Yellowstone,62.85905,Not rural,0.764,0.208,0.001,67.8,11.7
West Virginia,Lincoln,46.69486,Rural,0.424,0.516,0.014,100.0,20.4
California,Lake,54.19884,Rural,0.315,0.387,0.092,100.0,19.1
Georgia,Grady,57.37552,Rural,0.131,0.849,0.005,100.0,21.9
